time,event,mode,x,y,z,battery,details
32.252,Mission Start,AUTO.TAKEOFF,-0.030,0.003,-0.150,1.000,
132.900,Failure Start,POSCTL,3.410,2.835,5.238,0.890,Fallback: Smart RTL
