time,event,mode,x,y,z,battery,details
39.552,Mission Start,AUTO.TAKEOFF,-0.030,0.001,-0.120,1.000,
117.252,Failure Start,POSCTL,-4.252,4.387,3.918,0.990,Fallback: Smart RTL
167.552,Mission Complete,AUTO.LAND,0.339,0.279,-0.003,0.500,
