time,event,mode,x,y,z,battery,details
74.552,Mission Start,AUTO.TAKEOFF,0.008,0.004,-0.043,1.000,
116.852,Failure Start,POSCTL,-6.690,9.752,3.178,0.890,Fallback: Smart RTL
201.552,Mission Complete,AUTO.LAND,-15.532,15.783,-0.043,0.500,
