time,event,mode,x,y,z,battery,details
100.300,Mission Start,AUTO.TAKEOFF,-0.015,-0.024,0.024,0.990,
914.152,Failure Start,POSCTL,-8.380,9.425,1.640,0.890,Fallback: Smart RTL
